time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-07T14:36:41.640Z,37.5828323,-121.9833298,5.21,1.95,md,26,51,0.02917,0.1,nc,nc72336905,2014-11-07T14:52:02.535Z,"3km N of Fremont, California",earthquake
2014-11-07T14:24:48.510Z,40.8887,-120.0527,1.61,2.05,ml,17,267.64,0.404,,nn,nn00466699,2014-11-07T14:28:05.345Z,"66km WNW of Gerlach-Empire, Nevada",earthquake
2014-11-07T14:23:39.370Z,33.0295,-116.4028333,9.8,1.56,ml,45,41,0.1381,0.22,ci,ci37285872,2014-11-07T14:34:20.060Z,"19km ESE of Julian, California",earthquake
2014-11-07T14:23:23.810Z,34.0593333,-117.2936667,11.36,1.12,ml,23,154,0.09447,0.43,ci,ci37285864,2014-11-07T14:28:05.520Z,"2km SE of Colton, California",earthquake
2014-11-07T14:09:03.420Z,33.9961667,-117.1806667,16.08,0.98,ml,39,44,0.1052,0.25,ci,ci37285856,2014-11-07T14:13:24.110Z,"6km S of Redlands, California",earthquake
2014-11-07T13:36:53.140Z,38.8338318,-122.8656693,2.03,0.41,md,7,110,0.006573,0.01,nc,nc72336890,2014-11-07T14:57:06.328Z,"11km WNW of The Geysers, California",earthquake
2014-11-07T13:26:35.100Z,46.4143,-119.2655,0.3,1.3,Md,,165.6,0.01796631,0.1,uw,uw60919951,2014-11-07T13:27:56.720Z,"14km N of Richland, Washington",earthquake
2014-11-07T13:17:12.700Z,46.4185,-119.2687,0.4,1.3,Md,,162,0.01796631,0.02,uw,uw60919946,2014-11-07T13:18:35.581Z,"14km N of Richland, Washington",earthquake
2014-11-07T13:10:58.000Z,62.348,-150.2157,20.1,1.6,ml,,,,0.3,ak,ak11435764,2014-11-07T14:05:15.330Z,"6km WNW of Talkeetna, Alaska",earthquake
2014-11-07T13:07:46.010Z,33.6956667,-118.4051667,1.1,1.49,ml,15,155,0.04768,0.42,ci,ci37285848,2014-11-07T13:12:14.660Z,"5km SSW of Rancho Palos Verdes, California",earthquake
2014-11-07T12:55:58.220Z,38.7965012,-122.7559967,0.89,0.56,md,9,132,0.02006,0.02,nc,nc72336880,2014-11-07T14:27:05.796Z,"2km N of The Geysers, California",earthquake
2014-11-07T12:55:39.540Z,41.314,-119.8593,0.02,1.74,ml,8,315.86,1.024,,nn,nn00466696,2014-11-07T12:57:57.134Z,"60km ESE of Alturas, California",earthquake
2014-11-07T12:51:17.160Z,40.962,-119.8015,5.1,1.47,ml,6,323.55,0.783,,nn,nn00466695,2014-11-07T12:53:05.512Z,"55km NW of Gerlach-Empire, Nevada",earthquake
2014-11-07T12:42:22.140Z,33.623,-116.6701667,15.72,0.45,ml,12,219,0.04942,0.09,ci,ci37285840,2014-11-07T12:46:26.400Z,"7km N of Anza, California",earthquake
2014-11-07T12:37:36.500Z,40.9605,-119.705,4.92,1.38,ml,6,323.55,0.783,,nn,nn00466693,2014-11-07T12:39:28.034Z,"50km NNW of Gerlach-Empire, Nevada",earthquake
2014-11-07T12:34:19.890Z,38.8193321,-122.7649994,2.59,0.87,md,18,46,0.01177,0.02,nc,nc72336870,2014-11-07T13:58:05.286Z,"3km W of Cobb, California",earthquake
2014-11-07T11:36:52.340Z,33.5183333,-116.4135,10.93,0.44,ml,19,112,0.01138,0.23,ci,ci37285832,2014-11-07T11:40:44.850Z,"18km SSW of La Quinta, California",earthquake
2014-11-07T11:07:23.466Z,41.8782,-119.6551,0.255,2.57,ml,5,126.8,0.483,0.1206,nn,nn00466686,2014-11-07T11:30:46.619Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-07T10:49:50.090Z,41.8852,-119.6428,1.5017,3.08,ml,6,127.15,0.492,0.136,nn,nn00466684,2014-11-07T11:30:30.729Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-07T10:44:33.627Z,41.8817,-119.6349,0,2.45,ml,4,145.29,0.498,0.1395,nn,nn00466682,2014-11-07T11:24:55.800Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-07T10:39:04.626Z,41.9112,-119.6244,1.1697,2.61,ml,4,239.31,0.505,0.0119,nn,nn00466689,2014-11-07T11:20:34.898Z,"67km ESE of Lakeview, Oregon",earthquake
2014-11-07T10:28:52.010Z,33.6871667,-116.5916667,12.98,1.26,ml,55,33,0.08883,0.23,ci,ci37285824,2014-11-07T10:39:16.310Z,"13km ESE of Idyllwild-Pine Cove, California",earthquake
2014-11-07T10:28:13.480Z,38.7921677,-122.9179993,3.4,0.89,md,9,223,0.02848,0.03,nc,nc72336835,2014-11-07T12:25:03.251Z,"8km E of Cloverdale, California",earthquake
2014-11-07T10:25:22.000Z,61.4573,-151.9164,3.3,2,ml,,,,0.65,ak,ak11435612,2014-11-07T11:23:51.270Z,"91km NNW of Nikiski, Alaska",earthquake
2014-11-07T10:11:37.900Z,46.4155,-119.2682,0,1.7,Md,,165.6,0.01796631,0.02,uw,uw60919896,2014-11-07T10:13:03.058Z,"14km N of Richland, Washington",earthquake
2014-11-07T10:06:26.000Z,65.1217,-149.0081,9.4,1.1,ml,,,,0.43,ak,ak11435548,2014-11-07T11:23:50.567Z,"56km WNW of Ester, Alaska",earthquake
2014-11-07T09:44:15.120Z,38.8123322,-122.7811661,0.04,1.72,md,19,136,0.01187,0.3,nc,nc72336820,2014-11-07T12:13:04.566Z,"4km NNW of The Geysers, California",earthquake
2014-11-07T09:42:42.433Z,41.9017,-119.6112,0,2.73,ml,4,145.98,0.515,0.0568,nn,nn00466680,2014-11-07T11:20:51.546Z,"68km ESE of Lakeview, Oregon",earthquake
2014-11-07T09:25:05.000Z,61.3382,-150.905,54.6,1.9,ml,,,,0.57,ak,ak11435546,2014-11-07T10:18:56.341Z,"54km WSW of Big Lake, Alaska",earthquake
2014-11-07T09:14:21.040Z,38.8637,-118.7303,5.67,1.56,ml,5,126.64,0.277,,nn,nn00466678,2014-11-07T09:15:59.613Z,"38km NNW of Hawthorne, Nevada",earthquake
2014-11-07T09:07:57.050Z,33.6651667,-116.7675,16.76,0.66,ml,23,69,0.06389,0.2,ci,ci37285816,2014-11-07T09:11:56.480Z,"9km SSW of Idyllwild-Pine Cove, California",earthquake
2014-11-07T08:42:37.580Z,38.8286667,-122.8556671,2.31,0.78,md,11,127,0.001463,0.02,nc,nc72336795,2014-11-07T09:12:03.188Z,"10km WNW of The Geysers, California",earthquake
2014-11-07T08:40:14.052Z,41.896,-119.6402,0.2299,2.62,ml,4,144.86,0.493,0.167,nn,nn00466658,2014-11-07T11:15:38.294Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-07T08:24:57.870Z,-4.3441,102.2008,59.41,4.6,mb,,184,0.752,0.58,us,usc000svbc,2014-11-07T08:49:58.000Z,"60km S of Bengkulu, Indonesia",earthquake
