comuna,poblacion_2011,m2_hab
CERRILLOS,75320,2"
CERRO NAVIA,139629,3"
ÑUÑOA,178399,7"
EL BOSQUE,166696,0"
ESTACION CENTRAL,135598,4"
HUECHURABA,96196,9"
INDEPENDENCIA,69905,2"
LA CISTERNA,80053,5"
LA FLORIDA,378014,7"
LA GRANJA,124364,0"
LA PINTANA,199044,7"
LA REINA,93669,2"
LAS CONDES,279981,1"
LO BARNECHEA,114467,6"
LO ESPEJO,105367,9"
LO PRADO,97828,3"
MACUL,122440,3"
MAIPU,601654,5"
PEDRO AGUIRRE CERDA,103851,8"
PROVIDENCIA,129708,2"
PUDAHUEL,231861,8"
PUENTE ALTO,648422,4"
QUILICURA,208532,4"
QUINTA NORMAL,110807,5"
RECOLETA,162952,1"
RENCA,147595,3"
SAN BERNARDO,284786,7"
SAN JOAQUIN,88707,4"
SAN MIGUEL,92386,4"
SAN RAMON,92352,8"
SANTIAGO,271629,7"
VITACURA,81362,4"
TOTAL,6084899,"4
CONCHALÍ,121773,6"
PEÑALOLÉN,249552,9"
